,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Area
158,Maize,2002,33480,89.0,816.55,17.85,Kenya
163,Maize,2004,31729,89.0,3747.86,17.38,Kenya
168,Maize,2005,33864,89.0,3662.87,17.19,Kenya
173,Maize,2006,65668,89.0,4110.72,18.13,Kenya
178,Maize,2007,85625,89.0,5390.79,17.42,Kenya
183,Maize,2008,44714,89.0,11556.12,17.55,Kenya
188,Maize,2009,30914,89.0,3867.99,17.78,Kenya
193,Maize,2010,25827,89.0,1295.88,17.59,Kenya
198,Maize,2011,23374,89.0,13861.76,17.79,Kenya
203,Maize,2012,25583,89.0,17379.76,17.91,Kenya
208,Maize,2013,33649,89.0,17278.65,17.65,Kenya
214,Maize,1990,2736,1010.0,64.0,24.12,Kenya
220,Maize,1991,4013,1010.0,79.0,24.02,Kenya
226,Maize,1992,3778,1010.0,23.0,23.96,Kenya
232,Maize,1993,2627,1010.0,169.0,24.15,Kenya
238,Maize,1994,2463,1010.0,25.5,24.04,Kenya
244,Maize,1995,3517,1010.0,336.0,24.56,Kenya
250,Maize,1996,6993,1010.0,40.0,24.11,Kenya
256,Maize,1997,5959,1010.0,40.0,24.06,Kenya
262,Maize,1998,7396,1010.0,40.0,24.96,Kenya
268,Maize,1999,6361,1010.0,40.0,24.37,Kenya
274,Maize,2000,5745,1010.0,40.0,24.41,Kenya
282,Maize,2001,5754,1010.0,40.0,24.43,Kenya
290,Maize,2002,6706,1010.0,40.0,24.79,Kenya
298,Maize,2004,5404,1010.0,40.0,24.22,Kenya
306,Maize,2005,6736,1010.0,40.0,24.41,Kenya
314,Maize,2006,4687,1010.0,40.0,24.14,Kenya
322,Maize,2007,5091,1010.0,40.0,24.24,Kenya
330,Maize,2008,7946,1010.0,40.0,24.27,Kenya
338,Maize,2009,6614,1010.0,40.0,24.33,Kenya
346,Maize,2010,7200,1010.0,40.0,24.44,Kenya
354,Maize,2011,7376,1010.0,40.0,24.15,Kenya
362,Maize,2012,7770,1010.0,40.0,24.24,Kenya
370,Maize,2013,9467,1010.0,40.0,24.55,Kenya
379,Maize,1990,34608,591.0,26156.0,17.46,Kenya
380,Maize,1990,34608,591.0,26156.0,17.67,Kenya
395,Maize,1991,40444,591.0,26156.0,17.64,Kenya
396,Maize,1991,40444,591.0,26156.0,17.86,Kenya
411,Maize,1992,45237,591.0,26156.0,17.09,Kenya
412,Maize,1992,45237,591.0,26156.0,17.51,Kenya
427,Maize,1993,43552,591.0,26156.0,17.32,Kenya
428,Maize,1993,43552,591.0,26156.0,17.53,Kenya
443,Maize,1994,42371,591.0,30195.0,18.17,Kenya
444,Maize,1994,42371,591.0,30195.0,18.31,Kenya
459,Maize,1995,45223,591.0,37842.0,17.74,Kenya
460,Maize,1995,45223,591.0,37842.0,17.62,Kenya
475,Maize,1996,40397,591.0,54595.0,17.64,Kenya
476,Maize,1996,40397,591.0,54595.0,17.97,Kenya
491,Maize,1997,45557,591.0,77691.0,18.29,Kenya
492,Maize,1997,45557,591.0,77691.0,18.54,Kenya
507,Maize,1998,60780,591.0,62397.0,17.23,Kenya
508,Maize,1998,60780,591.0,62397.0,17.52,Kenya
523,Maize,1999,53702,591.0,62831.39,17.15,Kenya
524,Maize,1999,53702,591.0,62831.39,17.71,Kenya
539,Maize,2000,54329,591.0,63265.78,16.98,Kenya
540,Maize,2000,54329,591.0,63265.78,17.66,Kenya
555,Maize,2001,54553,591.0,63700.17,17.71,Kenya
556,Maize,2001,54553,591.0,63700.17,18.42,Kenya
571,Maize,2002,60791,591.0,64134.56,17.58,Kenya
572,Maize,2002,60791,591.0,64134.56,18.07,Kenya
587,Maize,2004,63931,591.0,65003.34,17.67,Kenya
588,Maize,2004,63931,591.0,65003.34,18.11,Kenya
603,Maize,2005,73587,591.0,65437.73,17.32,Kenya
604,Maize,2005,73587,591.0,65437.73,17.83,Kenya
619,Maize,2006,59030,591.0,65872.12,18.1,Kenya
620,Maize,2006,59030,591.0,65872.12,18.35,Kenya
635,Maize,2007,76655,591.0,81582.64,16.71,Kenya
636,Maize,2007,76655,591.0,81582.64,17.14,Kenya
651,Maize,2008,64525,591.0,87149.01,17.71,Kenya
652,Maize,2008,64525,591.0,87149.01,18.39,Kenya
667,Maize,2009,55760,591.0,61586.56,18.16,Kenya
668,Maize,2009,55760,591.0,61586.56,18.09,Kenya
683,Maize,2010,78040,591.0,105915.04,17.33,Kenya
684,Maize,2010,78040,591.0,105915.04,17.84,Kenya
699,Maize,2011,63503,591.0,100424.62,17.58,Kenya
700,Maize,2011,63503,591.0,100424.62,17.93,Kenya
715,Maize,2012,57346,591.0,136185.08,18.18,Kenya
716,Maize,2012,57346,591.0,136185.08,18.43,Kenya
731,Maize,2013,66037,591.0,171945.54,16.45,Kenya
732,Maize,2013,66037,591.0,171945.54,16.88,Kenya
745,Maize,1992,32344,562.0,8.0,7.44,Kenya
748,Maize,1993,32261,562.0,8.0,7.69,Kenya
751,Maize,1994,32667,562.0,23.0,8.84,Kenya
754,Maize,1995,18261,562.0,23.9,9.76,Kenya
757,Maize,1996,22239,562.0,32.0,9.55,Kenya
760,Maize,1997,45548,562.0,41.46,9.1,Kenya
763,Maize,1998,26082,562.0,50.92,10.28,Kenya
766,Maize,1999,40303,562.0,60.38,10.11,Kenya
769,Maize,2000,23178,562.0,69.85,9.68,Kenya
772,Maize,2001,37913,562.0,79.31,10.18,Kenya
775,Maize,2002,37380,562.0,88.77,9.41,Kenya
778,Maize,2004,61791,562.0,204.77,9.55,Kenya
781,Maize,2005,44692,562.0,220.51,9.58,Kenya
784,Maize,2006,33271,562.0,227.55,9.89,Kenya
787,Maize,2007,53262,562.0,241.71,9.44,Kenya
790,Maize,2008,53424,562.0,218.2,9.51,Kenya
793,Maize,2009,57763,562.0,198.36,9.67,Kenya
796,Maize,2010,46724,562.0,278.72,11.31,Kenya
799,Maize,2011,54257,562.0,278.72,8.93,Kenya
802,Maize,2012,62215,562.0,278.72,10.2,Kenya
805,Maize,2013,67114,562.0,278.72,11.08,Kenya
808,Maize,1990,41821,534.0,17866.0,16.8,Kenya
809,Maize,1990,41821,534.0,17866.0,20.06,Kenya
810,Maize,1990,41821,534.0,17866.0,12.11,Kenya
811,Maize,1990,41821,534.0,17866.0,14.16,Kenya
812,Maize,1990,41821,534.0,17866.0,18.05,Kenya
813,Maize,1990,41821,534.0,17866.0,17.47,Kenya
850,Maize,1991,39938,534.0,17866.0,16.78,Kenya
851,Maize,1991,39938,534.0,17866.0,20.29,Kenya
852,Maize,1991,39938,534.0,17866.0,12.22,Kenya
853,Maize,1991,39938,534.0,17866.0,13.77,Kenya
854,Maize,1991,39938,534.0,17866.0,18.73,Kenya
855,Maize,1991,39938,534.0,17866.0,17.85,Kenya
892,Maize,1992,51721,534.0,22234.0,15.78,Kenya
893,Maize,1992,51721,534.0,22234.0,19.79,Kenya
894,Maize,1992,51721,534.0,22234.0,11.21,Kenya
895,Maize,1992,51721,534.0,22234.0,13.31,Kenya
896,Maize,1992,51721,534.0,22234.0,18.45,Kenya
897,Maize,1992,51721,534.0,22234.0,16.89,Kenya
934,Maize,1993,44261,534.0,23899.0,16.71,Kenya
935,Maize,1993,44261,534.0,23899.0,20.19,Kenya
936,Maize,1993,44261,534.0,23899.0,11.84,Kenya
937,Maize,1993,44261,534.0,23899.0,13.81,Kenya
938,Maize,1993,44261,534.0,23899.0,18.03,Kenya
939,Maize,1993,44261,534.0,23899.0,17.42,Kenya
976,Maize,1994,46620,534.0,21057.0,16.43,Kenya
977,Maize,1994,46620,534.0,21057.0,19.59,Kenya
978,Maize,1994,46620,534.0,21057.0,11.6,Kenya
979,Maize,1994,46620,534.0,21057.0,13.52,Kenya
980,Maize,1994,46620,534.0,21057.0,19.17,Kenya
981,Maize,1994,46620,534.0,21057.0,17.36,Kenya
1018,Maize,1995,48263,534.0,25598.0,16.14,Kenya
1019,Maize,1995,48263,534.0,25598.0,20.12,Kenya
1020,Maize,1995,48263,534.0,25598.0,11.39,Kenya
1021,Maize,1995,48263,534.0,25598.0,13.14,Kenya
1022,Maize,1995,48263,534.0,25598.0,18.88,Kenya
1023,Maize,1995,48263,534.0,25598.0,16.95,Kenya
1060,Maize,1996,57689,534.0,31185.0,16.12,Kenya
1061,Maize,1996,57689,534.0,31185.0,20.06,Kenya
1062,Maize,1996,57689,534.0,31185.0,11.29,Kenya
1063,Maize,1996,57689,534.0,31185.0,13.05,Kenya
1064,Maize,1996,57689,534.0,31185.0,19.13,Kenya
1065,Maize,1996,57689,534.0,31185.0,17.05,Kenya
1102,Maize,1997,59403,534.0,34091.0,16.48,Kenya
1103,Maize,1997,59403,534.0,34091.0,20.16,Kenya
1104,Maize,1997,59403,534.0,34091.0,12.13,Kenya
1105,Maize,1997,59403,534.0,34091.0,13.93,Kenya
1106,Maize,1997,59403,534.0,34091.0,18.94,Kenya
1107,Maize,1997,59403,534.0,34091.0,17.51,Kenya
1144,Maize,1998,47544,534.0,37215.0,16.28,Kenya
1145,Maize,1998,47544,534.0,37215.0,20.62,Kenya
1146,Maize,1998,47544,534.0,37215.0,12.46,Kenya
1147,Maize,1998,47544,534.0,37215.0,13.61,Kenya
1148,Maize,1998,47544,534.0,37215.0,18.9,Kenya
1149,Maize,1998,47544,534.0,37215.0,18.05,Kenya
1186,Maize,1999,51212,534.0,34200.0,16.77,Kenya
1187,Maize,1999,51212,534.0,34200.0,19.75,Kenya
1188,Maize,1999,51212,534.0,34200.0,12.1,Kenya
1189,Maize,1999,51212,534.0,34200.0,14.2,Kenya
1190,Maize,1999,51212,534.0,34200.0,19.28,Kenya
1191,Maize,1999,51212,534.0,34200.0,17.55,Kenya
1228,Maize,2000,49360,534.0,33475.0,17.08,Kenya
1229,Maize,2000,49360,534.0,33475.0,19.89,Kenya
1230,Maize,2000,49360,534.0,33475.0,12.09,Kenya
1231,Maize,2000,49360,534.0,33475.0,14.32,Kenya
1232,Maize,2000,49360,534.0,33475.0,19.07,Kenya
1233,Maize,2000,49360,534.0,33475.0,17.57,Kenya
1270,Maize,2001,46471,534.0,32710.0,16.63,Kenya
1271,Maize,2001,46471,534.0,32710.0,20.21,Kenya
1272,Maize,2001,46471,534.0,32710.0,12.29,Kenya
1273,Maize,2001,46471,534.0,32710.0,14.18,Kenya
1274,Maize,2001,46471,534.0,32710.0,18.39,Kenya
1275,Maize,2001,46471,534.0,32710.0,17.85,Kenya
1312,Maize,2002,54929,534.0,26651.0,16.63,Kenya
1313,Maize,2002,54929,534.0,26651.0,20.38,Kenya
1314,Maize,2002,54929,534.0,26651.0,12.31,Kenya
1315,Maize,2002,54929,534.0,26651.0,14.08,Kenya
1316,Maize,2002,54929,534.0,26651.0,18.93,Kenya
1317,Maize,2002,54929,534.0,26651.0,17.73,Kenya
1354,Maize,2004,56326,534.0,36276.0,16.64,Kenya
1355,Maize,2004,56326,534.0,36276.0,20.42,Kenya
1356,Maize,2004,56326,534.0,36276.0,12.35,Kenya
1357,Maize,2004,56326,534.0,36276.0,13.74,Kenya
1358,Maize,2004,56326,534.0,36276.0,18.87,Kenya
1359,Maize,2004,56326,534.0,36276.0,17.87,Kenya
1396,Maize,2005,57983,534.0,34310.0,16.93,Kenya
1397,Maize,2005,57983,534.0,34310.0,20.71,Kenya
1398,Maize,2005,57983,534.0,34310.0,12.48,Kenya
1399,Maize,2005,57983,534.0,34310.0,14.38,Kenya
1400,Maize,2005,57983,534.0,34310.0,18.26,Kenya
1401,Maize,2005,57983,534.0,34310.0,18.03,Kenya
1438,Maize,2006,53856,534.0,35900.0,16.75,Kenya
1439,Maize,2006,53856,534.0,35900.0,20.17,Kenya
1440,Maize,2006,53856,534.0,35900.0,12.51,Kenya
1441,Maize,2006,53856,534.0,35900.0,13.99,Kenya
1442,Maize,2006,53856,534.0,35900.0,18.99,Kenya
1443,Maize,2006,53856,534.0,35900.0,17.75,Kenya
1480,Maize,2007,49103,534.0,32446.25,17.49,Kenya
1481,Maize,2007,49103,534.0,32446.25,20.31,Kenya
1482,Maize,2007,49103,534.0,32446.25,12.83,Kenya
1483,Maize,2007,49103,534.0,32446.25,14.99,Kenya
1484,Maize,2007,49103,534.0,32446.25,18.84,Kenya
1485,Maize,2007,49103,534.0,32446.25,18.02,Kenya
1522,Maize,2008,56912,534.0,42935.38,16.7,Kenya
1523,Maize,2008,56912,534.0,42935.38,19.79,Kenya
1524,Maize,2008,56912,534.0,42935.38,12.0,Kenya
1525,Maize,2008,56912,534.0,42935.38,14.11,Kenya
1526,Maize,2008,56912,534.0,42935.38,18.78,Kenya
1527,Maize,2008,56912,534.0,42935.38,17.32,Kenya
1564,Maize,2009,58171,534.0,38065.68,17.39,Kenya
1565,Maize,2009,58171,534.0,38065.68,20.65,Kenya
1566,Maize,2009,58171,534.0,38065.68,12.87,Kenya
1567,Maize,2009,58171,534.0,38065.68,14.65,Kenya
1568,Maize,2009,58171,534.0,38065.68,19.01,Kenya
1569,Maize,2009,58171,534.0,38065.68,18.18,Kenya
1606,Maize,2010,55593,534.0,42169.39,16.72,Kenya
1607,Maize,2010,55593,534.0,42169.39,20.33,Kenya
1608,Maize,2010,55593,534.0,42169.39,12.37,Kenya
1609,Maize,2010,55593,534.0,42169.39,14.23,Kenya
1610,Maize,2010,55593,534.0,42169.39,19.09,Kenya
1611,Maize,2010,55593,534.0,42169.39,18.0,Kenya
1648,Maize,2011,57390,534.0,47632.99,16.9,Kenya
1649,Maize,2011,57390,534.0,47632.99,19.88,Kenya
1650,Maize,2011,57390,534.0,47632.99,12.16,Kenya
1651,Maize,2011,57390,534.0,47632.99,14.19,Kenya
1652,Maize,2011,57390,534.0,47632.99,19.99,Kenya
1653,Maize,2011,57390,534.0,47632.99,17.71,Kenya
1690,Maize,2012,64654,534.0,48687.88,16.84,Kenya
1691,Maize,2012,64654,534.0,48687.88,20.08,Kenya
1692,Maize,2012,64654,534.0,48687.88,11.79,Kenya
1693,Maize,2012,64654,534.0,48687.88,14.27,Kenya
1694,Maize,2012,64654,534.0,48687.88,19.55,Kenya
1695,Maize,2012,64654,534.0,48687.88,17.47,Kenya
1732,Maize,2013,64441,534.0,45177.18,17.39,Kenya
1733,Maize,2013,64441,534.0,45177.18,20.14,Kenya
1734,Maize,2013,64441,534.0,45177.18,12.19,Kenya
1735,Maize,2013,64441,534.0,45177.18,14.74,Kenya
1736,Maize,2013,64441,534.0,45177.18,19.98,Kenya
1737,Maize,2013,64441,534.0,45177.18,18.09,Kenya
1774,Maize,1990,81800,1110.0,4246.0,9.23,Kenya
1778,Maize,1991,84800,1110.0,4487.0,8.15,Kenya
1782,Maize,1992,64800,1110.0,3897.0,9.49,Kenya
1786,Maize,1993,89710,1110.0,3984.0,8.48,Kenya
1790,Maize,1994,79160,1110.0,3619.0,9.89,Kenya
1794,Maize,1995,85000,1110.0,3402.0,8.79,Kenya
1798,Maize,1996,86200,1110.0,3565.0,7.4,Kenya
1802,Maize,1997,97800,1110.0,3689.6,8.37,Kenya
1806,Maize,1998,96100,1110.0,3340.3,9.01,Kenya
1810,Maize,1999,96000,1110.0,3418.6,9.17,Kenya
1814,Maize,2000,98600,1110.0,3563.2,10.08,Kenya
1818,Maize,2001,90869,1110.0,3132.2,8.75,Kenya
1822,Maize,2002,99815,1110.0,3079.2,9.62,Kenya
1826,Maize,2004,96544,1110.0,3301.7,8.76,Kenya
1830,Maize,2005,106570,1110.0,3404.0,8.6,Kenya
1834,Maize,2006,96370,1110.0,3415.7,9.13,Kenya
1838,Maize,2007,103128,1110.0,3526.6,10.03,Kenya
1842,Maize,2008,113173,1110.0,4246.7,9.96,Kenya
1846,Maize,2009,108293,1110.0,3531.8,9.48,Kenya
1850,Maize,2010,97247,1110.0,3692.4,8.36,Kenya
1855,Maize,2011,112996,1110.0,3441.5,9.42,Kenya
1860,Maize,2012,107025,1110.0,3563.3,9.42,Kenya
1865,Maize,2013,81173,1110.0,3108.6,10.03,Kenya
1870,Maize,1992,18740,447.0,148.68,10.93,Kenya
1876,Maize,1993,13918,447.0,148.68,10.53,Kenya
1882,Maize,1994,14619,447.0,148.68,11.32,Kenya
1888,Maize,1995,11810,447.0,148.68,12.81,Kenya
1894,Maize,1996,17369,447.0,148.68,11.96,Kenya
1900,Maize,1997,24340,447.0,148.68,11.89,Kenya
1906,Maize,1998,29541,447.0,148.68,12.79,Kenya
1912,Maize,1999,35343,447.0,148.68,12.74,Kenya
1917,Maize,2000,32484,447.0,148.68,12.61,Kenya
1923,Maize,2001,37823,447.0,148.68,12.97,Kenya
1928,Maize,2002,43463,447.0,148.68,12.45,Kenya
1932,Maize,2004,46071,447.0,148.68,12.76,Kenya
1937,Maize,2005,47703,447.0,148.68,12.88,Kenya
1942,Maize,2006,45777,447.0,148.68,12.66,Kenya
1948,Maize,2007,46175,447.0,148.68,12.75,Kenya
1953,Maize,2008,47784,447.0,262.99,12.3,Kenya
1959,Maize,2009,47990,447.0,316.18,12.6,Kenya
1964,Maize,2010,45551,447.0,333.85,13.85,Kenya
1969,Maize,2011,45460,447.0,461.84,11.79,Kenya
1974,Maize,2012,51029,447.0,516.35,13.0,Kenya
1980,Maize,2013,53903,447.0,489.8,14.12,Kenya
1987,Maize,1992,16667,1292.0,484.59,25.1,Kenya
1990,Maize,1993,16000,1292.0,484.59,25.26,Kenya
1993,Maize,1994,17931,1292.0,484.59,25.73,Kenya
1996,Maize,1995,17931,1292.0,484.59,25.44,Kenya
1999,Maize,1996,17931,1292.0,484.59,25.06,Kenya
2002,Maize,1997,17400,1292.0,484.59,25.81,Kenya
2005,Maize,1998,19842,1292.0,484.59,25.94,Kenya
2008,Maize,1999,21657,1292.0,484.59,25.31,Kenya
2011,Maize,2000,24762,1292.0,484.59,25.16,Kenya
2014,Maize,2001,30000,1292.0,375.89,25.23,Kenya
2017,Maize,2002,30500,1292.0,384.23,25.79,Kenya
2020,Maize,2004,35500,1292.0,269.66,25.46,Kenya
2023,Maize,2005,36000,1292.0,315.74,25.43,Kenya
2026,Maize,2006,38000,1292.0,268.2,25.34,Kenya
2029,Maize,2007,40000,1292.0,268.2,25.71,Kenya
2032,Maize,2008,47619,1292.0,268.2,25.63,Kenya
2035,Maize,2009,60000,1292.0,268.2,25.46,Kenya
2038,Maize,2010,75333,1292.0,268.2,24.77,Kenya
2042,Maize,2011,73085,1292.0,268.2,25.76,Kenya
2046,Maize,2012,73404,1292.0,268.2,25.46,Kenya
2050,Maize,2013,74465,1292.0,268.2,25.88,Kenya
2082,Maize,1990,10015,2666.0,1266.0,25.98,Kenya
2083,Maize,1990,10015,2666.0,1266.0,25.98,Kenya
2094,Maize,1991,9781,2666.0,1287.0,25.85,Kenya
2095,Maize,1991,9781,2666.0,1287.0,25.85,Kenya
2106,Maize,1992,9319,2666.0,1453.0,25.86,Kenya
2107,Maize,1992,9319,2666.0,1453.0,25.86,Kenya
2118,Maize,1993,9351,2666.0,1487.0,25.73,Kenya
2119,Maize,1993,9351,2666.0,1487.0,25.73,Kenya
2130,Maize,1994,9042,2666.0,1594.5,25.91,Kenya
2131,Maize,1994,9042,2666.0,1594.5,25.91,Kenya
2142,Maize,1995,10700,2666.0,1702.0,26.09,Kenya
2143,Maize,1995,10700,2666.0,1702.0,26.09,Kenya
2154,Maize,1996,10166,2666.0,1919.0,26.15,Kenya
2155,Maize,1996,10166,2666.0,1919.0,26.15,Kenya
2166,Maize,1997,10914,2666.0,2035.0,25.55,Kenya
2167,Maize,1997,10914,2666.0,2035.0,25.55,Kenya
2178,Maize,1998,7339,2666.0,2068.0,26.13,Kenya
2179,Maize,1998,7339,2666.0,2068.0,26.13,Kenya
2190,Maize,1999,12346,2666.0,2532.0,26.31,Kenya
2191,Maize,1999,12346,2666.0,2532.0,26.31,Kenya
2202,Maize,2000,20597,2666.0,3170.0,25.91,Kenya
2203,Maize,2000,20597,2666.0,3170.0,25.91,Kenya
2214,Maize,2001,32216,2666.0,3295.78,25.93,Kenya
2215,Maize,2001,32216,2666.0,3295.78,25.93,Kenya
2226,Maize,2002,40349,2666.0,2954.29,26.1,Kenya
2227,Maize,2002,40349,2666.0,2954.29,26.1,Kenya
2238,Maize,2004,48243,2666.0,5587.81,26.14,Kenya
2239,Maize,2004,48243,2666.0,5587.81,26.14,Kenya
2250,Maize,2005,53311,2666.0,7605.01,26.19,Kenya
2251,Maize,2005,53311,2666.0,7605.01,26.19,Kenya
2264,Maize,2006,52998,2666.0,9074.43,26.44,Kenya
2265,Maize,2006,52998,2666.0,9074.43,26.44,Kenya
2278,Maize,2007,59812,2666.0,10962.31,25.95,Kenya
2279,Maize,2007,59812,2666.0,10962.31,25.95,Kenya
2292,Maize,2008,60172,2666.0,12936.5,26.0,Kenya
2293,Maize,2008,60172,2666.0,12936.5,26.0,Kenya
2306,Maize,2009,56831,2666.0,13790.09,26.54,Kenya
2307,Maize,2009,56831,2666.0,13790.09,26.54,Kenya
2320,Maize,2010,58378,2666.0,13283.72,26.65,Kenya
2321,Maize,2010,58378,2666.0,13283.72,26.65,Kenya
2334,Maize,2011,61512,2666.0,14798.28,25.8,Kenya
2335,Maize,2011,61512,2666.0,14798.28,25.8,Kenya
2348,Maize,2012,65838,2666.0,13289.18,26.28,Kenya
2349,Maize,2012,65838,2666.0,13289.18,26.28,Kenya
2362,Maize,2013,65953,2666.0,15330.16,26.59,Kenya
2363,Maize,2013,65953,2666.0,15330.16,26.59,Kenya
2376,Maize,1992,30000,618.0,8306.31,6.74,Kenya
2379,Maize,1993,12000,618.0,8306.31,5.61,Kenya
2382,Maize,1994,5000,618.0,8306.31,6.26,Kenya
2385,Maize,1995,24545,618.0,8306.31,6.68,Kenya
2388,Maize,1996,23000,618.0,8306.31,5.32,Kenya
2391,Maize,1997,20333,618.0,8306.31,5.98,Kenya
2394,Maize,1998,26522,618.0,8306.31,6.11,Kenya
2397,Maize,1999,26053,618.0,8306.31,7.38,Kenya
2400,Maize,2000,23077,618.0,8306.31,7.52,Kenya
2403,Maize,2001,25917,618.0,8306.31,6.71,Kenya
2406,Maize,2002,32889,618.0,8306.31,7.34,Kenya
2409,Maize,2004,35297,618.0,8306.31,6.49,Kenya
2412,Maize,2005,39965,618.0,8306.31,6.53,Kenya
2415,Maize,2006,39390,618.0,8306.31,6.6,Kenya
2418,Maize,2007,50653,618.0,8306.31,7.51,Kenya
2421,Maize,2008,43890,618.0,8306.31,7.75,Kenya
2424,Maize,2009,46818,618.0,8306.31,6.75,Kenya
2427,Maize,2010,49306,618.0,8306.31,6.71,Kenya
2430,Maize,2011,65950,618.0,8306.31,7.29,Kenya
2433,Maize,2012,50407,618.0,9578.67,6.33,Kenya
2436,Maize,2013,55656,618.0,9163.51,7.83,Kenya
2439,Maize,2000,111006,847.0,9560.49,11.37,Kenya
2442,Maize,2001,113522,847.0,8529.07,10.94,Kenya
2445,Maize,2002,111962,847.0,9204.0,11.44,Kenya
2448,Maize,2004,122246,847.0,9186.0,10.94,Kenya
2451,Maize,2005,116872,847.0,9776.0,11.16,Kenya
2454,Maize,2006,101929,847.0,8244.02,11.48,Kenya
2457,Maize,2007,131278,847.0,6712.05,11.52,Kenya
2460,Maize,2008,119258,847.0,6516.47,10.9,Kenya
2463,Maize,2009,121174,847.0,5496.04,11.0,Kenya
2466,Maize,2010,119283,847.0,4644.53,9.74,Kenya
2469,Maize,2011,119360,847.0,5740.44,11.69,Kenya
2472,Maize,2012,102438,847.0,6139.3,10.68,Kenya
2475,Maize,2013,111500,847.0,5905.6,10.36,Kenya
2478,Maize,1990,2899,416.0,17.0,19.54,Kenya
2481,Maize,1991,3962,416.0,19.0,19.29,Kenya
2484,Maize,1992,1899,416.0,17.0,20.59,Kenya
2487,Maize,1993,1353,416.0,17.0,19.97,Kenya
2490,Maize,1994,1698,416.0,17.0,19.26,Kenya
2493,Maize,1995,9477,416.0,17.0,19.96,Kenya
2496,Maize,1996,2463,416.0,17.0,19.1,Kenya
2499,Maize,1997,2867,416.0,17.0,19.26,Kenya
2502,Maize,1998,910,416.0,17.0,20.05,Kenya
2505,Maize,1999,1111,416.0,17.0,20.24,Kenya
2508,Maize,2000,1123,416.0,17.0,18.97,Kenya
2511,Maize,2001,1992,416.0,17.0,19.36,Kenya
2514,Maize,2002,2947,416.0,17.0,19.89,Kenya
2517,Maize,2004,1743,416.0,17.0,19.41,Kenya
2520,Maize,2005,2297,416.0,17.0,20.42,Kenya
2523,Maize,2006,2511,416.0,17.0,18.97,Kenya
2526,Maize,2007,1219,416.0,17.0,19.71,Kenya
2529,Maize,2008,1844,416.0,17.0,19.63,Kenya
2532,Maize,2009,2429,416.0,17.0,19.25,Kenya
2534,Maize,2010,1617,416.0,17.0,19.98,Kenya
2536,Maize,2011,3473,416.0,17.0,19.19,Kenya
2538,Maize,2012,1370,416.0,17.0,19.83,Kenya
2540,Maize,2013,849,416.0,17.0,18.69,Kenya
2553,Maize,1990,18735,1761.0,49695.0,21.88,Kenya
2554,Maize,1990,18735,1761.0,49695.0,20.29,Kenya
2555,Maize,1990,18735,1761.0,49695.0,17.77,Kenya
2556,Maize,1990,18735,1761.0,49695.0,17.77,Kenya
2557,Maize,1990,18735,1761.0,49695.0,27.65,Kenya
2558,Maize,1990,18735,1761.0,49695.0,20.29,Kenya
2559,Maize,1990,18735,1761.0,49695.0,27.07,Kenya
2560,Maize,1990,18735,1761.0,49695.0,18.47,Kenya
2561,Maize,1990,18735,1761.0,49695.0,25.76,Kenya
2562,Maize,1990,18735,1761.0,49695.0,24.64,Kenya
2563,Maize,1990,18735,1761.0,49695.0,25.29,Kenya
